"Points:0","Points:1","Points:2","arc_length","raw_data_1","raw_data_2","u","v","zeta"
0.970976,0.200527451187,0,0.622691546174,3.500012,3.250018,-3.85606450251,-0.466599639221,6.33415207883e-08
0.970976,0.189973614776,0,0.633245382586,3.750006,3.500012,-3.77955482488,-0.55000574903,6.33415207883e-08
0.970976,0.189973361478,0,0.633245635884,3.749982,3.499988,-3.77955125019,-0.550006729817,8.22193981951e-08
0.970976,0.179419525066,0,0.643799472296,3.499988,4.24997,-3.62255233577,-0.519344180391,8.22193981951e-08
0.970976,0.179419271768,0,0.643799725594,3.5,4.249994,-3.62254928784,-0.519345986619,4.65449345937e-08
0.970976,0.168865435356,0,0.654353562005,3.000012,3.500012,-3.51873415446,-0.485291172465,4.65449345937e-08
0.970976,0.168865182058,0,0.654353815303,3,3.500012,-3.51873113534,-0.485298330142,-9.218116389e-08
0.970976,0.158311345646,0,0.664907651715,3.249994,3.250018,-3.43635000699,-0.883625227452,-9.218116389e-08
0.970976,0.158311092348,0,0.664907905013,3.249994,3.250006,-3.43634990168,-0.883624903717,-2.04653576099e-07
0.970976,0.147757255937,0,0.675461741425,3.249994,3.250006,-3.47442048757,-1.10827279853,-2.04653576099e-07
0.970976,0.147757002639,0,0.675461994723,3.250006,3.250018,-3.47441872257,-1.10827635173,-2.06127082489e-07
0.970976,0.137203166227,0,0.686015831135,3.749994,4,-3.44339196204,-1.24794970516,-2.06127082489e-07
0.970976,0.137202912929,0,0.686016084433,3.749994,4,-3.4433881724,-1.24793932059,-2.64246252151e-07
0.970976,0.126649076517,0,0.696569920844,3.250006,4,-3.33842054598,-1.1212270393,-2.64246252151e-07
0.970976,0.126648823219,0,0.696570174142,3.25,4.000006,-3.33842216744,-1.12122032139,-1.28491128898e-07
0.970976,0.116094986807,0,0.707124010554,3.499994,4.000006,-3.23329726612,-0.667864091553,-1.28491128898e-07
0.970976,0.116094733509,0,0.707124263852,3.499988,3.999982,-3.23329067743,-0.667859756531,9.10408205936e-08
0.970976,0.105540897098,0,0.717678100264,3,3.999982,-2.93922861633,-0.233244246168,9.10408205936e-08
0.970976,0.105540643799,0,0.717678353562,3.000006,3.999994,-2.93922434024,-0.233239567305,1.79440596208e-07
0.970976,0.0949868073879,0,0.728232189974,3.000006,3.75,-2.78700457963,0.123196790405,1.79440596208e-07
0.970976,0.0949865540897,0,0.728232443272,3,3.749994,-2.78699556765,0.123203229381,5.79767624136e-07
0.970976,0.0844327176781,0,0.738786279683,3,4.249982,-2.62539217656,0.316733151511,5.79767624136e-07
